ID,Date,Type,Category,Description,Amount
239,2025-04-02,Income,Bonus,Bonus,150.0
229,2025-04-01,Income,Salary,Monthly Salary,3500.0
223,2025-03-26,Income,Freelance,Freelance,1000.0
220,2025-03-23,Expense,Mobile Bill,Mobile Bill,129.0
217,2025-03-23,Expense,Transportation,Transportation,180.0
224,2025-03-22,Expense,Emergency,Emergency,450.0
227,2025-03-21,Expense,Food & Dining,Food & Dining,42.0
225,2025-03-21,Income,Rental Income,Rental Income,1000.0
215,2025-03-17,Income,Bonus,Bonus,1000.0
218,2025-03-14,Expense,Clothing,Clothing,450.0
228,2025-03-13,Expense,Rent,Rent,90.0
219,2025-03-10,Expense,Food & Dining,Food & Dining,42.0
226,2025-03-07,Expense,Fitness,Fitness,18.0
221,2025-03-05,Expense,Entertainment,Entertainment,250.0
216,2025-03-05,Income,Business Income,Business Income,1000.0
222,2025-03-02,Expense,Mobile Bill,Mobile Bill,450.0
214,2025-03-01,Income,Salary,Monthly Salary,3500.0
208,2025-02-28,Income,Rental Income,Rental Income,450.0
212,2025-02-25,Expense,Savings,Savings,180.0
204,2025-02-24,Expense,Emergency,Emergency,35.0
207,2025-02-23,Expense,Groceries,Groceries,90.0
200,2025-02-23,Income,Interest,Interest,120.0
210,2025-02-22,Expense,Emergency,Emergency,250.0
205,2025-02-21,Expense,Gifts & Donations,Gifts & Donations,90.0
202,2025-02-16,Expense,Healthcare,Healthcare,58.0
213,2025-02-13,Income,Business Income,Business Income,650.0
203,2025-02-13,Expense,Miscellaneous,Miscellaneous,99.0
209,2025-02-10,Income,Rental Income,Rental Income,150.0
201,2025-02-09,Expense,Education,Education,99.0
206,2025-02-07,Expense,Mobile Bill,Mobile Bill,90.0
211,2025-02-06,Expense,Internet,Internet,99.0
199,2025-02-01,Income,Salary,Monthly Salary,3500.0
192,2025-01-26,Expense,Travel,Travel,129.0
187,2025-01-25,Expense,Transportation,Transportation,220.0
190,2025-01-24,Expense,Gifts & Donations,Gifts & Donations,220.0
185,2025-01-22,Income,Interest,Interest,150.0
195,2025-01-21,Expense,Groceries,Groceries,250.0
198,2025-01-20,Income,Freelance,Freelance,120.0
197,2025-01-19,Expense,Emergency,Emergency,150.0
196,2025-01-19,Income,Gift,Gift,120.0
189,2025-01-18,Expense,Gifts & Donations,Gifts & Donations,75.0
193,2025-01-10,Income,Rental Income,Rental Income,120.0
191,2025-01-09,Expense,Mobile Bill,Mobile Bill,18.0
186,2025-01-09,Income,Freelance,Freelance,850.0
194,2025-01-04,Expense,Healthcare,Healthcare,150.0
188,2025-01-03,Income,Investment,Investment,150.0
184,2025-01-01,Income,Salary,Monthly Salary,3500.0
171,2024-12-26,Expense,Fitness,Fitness,180.0
183,2024-12-25,Expense,Personal Care,Personal Care,129.0
178,2024-12-25,Expense,Mobile Bill,Mobile Bill,48.0
182,2024-12-21,Expense,Clothing,Clothing,220.0
172,2024-12-18,Expense,Emergency,Emergency,48.0
174,2024-12-17,Income,Business Income,Business Income,300.0
170,2024-12-17,Expense,Loan Payment,Loan Payment,35.0
175,2024-12-15,Expense,Internet,Internet,220.0
177,2024-12-14,Expense,Savings,Savings,42.0
176,2024-12-14,Expense,Entertainment,Entertainment,180.0
180,2024-12-13,Expense,Savings,Savings,75.0
179,2024-12-12,Income,Rental Income,Rental Income,120.0
173,2024-12-09,Expense,Utilities,Utilities,48.0
181,2024-12-06,Expense,Clothing,Clothing,42.0
169,2024-12-01,Income,Salary,Monthly Salary,3400.0
158,2024-11-28,Expense,Transportation,Transportation,450.0
162,2024-11-27,Income,Business Income,Business Income,1000.0
161,2024-11-26,Expense,Clothing,Clothing,90.0
166,2024-11-16,Income,Freelance,Freelance,150.0
163,2024-11-13,Expense,Food & Dining,Food & Dining,250.0
159,2024-11-13,Expense,Fuel,Fuel,150.0
160,2024-11-10,Expense,Savings,Savings,450.0
164,2024-11-09,Expense,Groceries,Groceries,48.0
156,2024-11-09,Expense,Mobile Bill,Mobile Bill,35.0
168,2024-11-08,Expense,Utilities,Utilities,90.0
165,2024-11-08,Expense,Savings,Savings,42.0
157,2024-11-06,Expense,Groceries,Groceries,99.0
155,2024-11-03,Income,Business Income,Business Income,150.0
167,2024-11-02,Expense,Entertainment,Entertainment,250.0
154,2024-11-01,Income,Salary,Monthly Salary,3400.0
146,2024-10-28,Income,Interest,Interest,1000.0
147,2024-10-26,Income,Other Income,Other Income,1000.0
150,2024-10-25,Expense,Fitness,Fitness,99.0
144,2024-10-25,Income,Bonus,Bonus,1000.0
152,2024-10-24,Expense,Entertainment,Entertainment,48.0
145,2024-10-24,Expense,Miscellaneous,Miscellaneous,450.0
149,2024-10-20,Expense,Mobile Bill,Mobile Bill,220.0
143,2024-10-17,Expense,Personal Care,Personal Care,250.0
141,2024-10-15,Expense,Clothing,Clothing,75.0
148,2024-10-13,Income,Refund,Refund,650.0
153,2024-10-08,Income,Bonus,Bonus,300.0
142,2024-10-06,Expense,Fitness,Fitness,220.0
151,2024-10-05,Income,Other Income,Other Income,850.0
140,2024-10-02,Expense,Loan Payment,Loan Payment,450.0
139,2024-10-01,Income,Salary,Monthly Salary,3400.0
133,2024-09-27,Expense,Groceries,Groceries,58.0
132,2024-09-26,Expense,Entertainment,Entertainment,120.0
127,2024-09-23,Expense,Personal Care,Personal Care,90.0
125,2024-09-22,Expense,Rent,Rent,300.0
130,2024-09-19,Expense,Healthcare,Healthcare,48.0
135,2024-09-14,Income,Investment,Investment,850.0
137,2024-09-13,Expense,Internet,Internet,42.0
138,2024-09-12,Expense,Clothing,Clothing,129.0
129,2024-09-12,Income,Other Income,Other Income,1000.0
128,2024-09-11,Expense,Insurance,Insurance,99.0
126,2024-09-11,Expense,Miscellaneous,Miscellaneous,75.0
136,2024-09-06,Income,Bonus,Bonus,450.0
134,2024-09-05,Expense,Emergency,Emergency,99.0
131,2024-09-03,Expense,Loan Payment,Loan Payment,129.0
124,2024-09-01,Income,Salary,Monthly Salary,3400.0
121,2024-08-24,Expense,Miscellaneous,Miscellaneous,300.0
123,2024-08-23,Expense,Internet,Internet,129.0
119,2024-08-21,Income,Freelance,Freelance,450.0
114,2024-08-19,Expense,Miscellaneous,Miscellaneous,120.0
117,2024-08-18,Expense,Gifts & Donations,Gifts & Donations,99.0
116,2024-08-18,Expense,Entertainment,Entertainment,35.0
111,2024-08-18,Expense,Personal Care,Personal Care,48.0
122,2024-08-16,Expense,Fitness,Fitness,450.0
113,2024-08-11,Expense,Miscellaneous,Miscellaneous,250.0
112,2024-08-10,Expense,Clothing,Clothing,150.0
110,2024-08-10,Income,Freelance,Freelance,450.0
118,2024-08-08,Income,Refund,Refund,300.0
115,2024-08-07,Expense,Personal Care,Personal Care,150.0
120,2024-08-03,Expense,Miscellaneous,Miscellaneous,35.0
109,2024-08-01,Income,Salary,Monthly Salary,3400.0
95,2024-07-26,Expense,Groceries,Groceries,99.0
107,2024-07-24,Expense,Gifts & Donations,Gifts & Donations,75.0
102,2024-07-23,Income,Business Income,Business Income,300.0
96,2024-07-23,Expense,Utilities,Utilities,220.0
105,2024-07-20,Expense,Fitness,Fitness,99.0
99,2024-07-20,Expense,Education,Education,42.0
103,2024-07-15,Expense,Insurance,Insurance,90.0
101,2024-07-11,Expense,Shopping,Shopping,180.0
98,2024-07-10,Income,Freelance,Freelance,120.0
100,2024-07-09,Expense,Internet,Internet,58.0
106,2024-07-08,Expense,Gifts & Donations,Gifts & Donations,48.0
97,2024-07-07,Income,Refund,Refund,1000.0
108,2024-07-06,Expense,Miscellaneous,Miscellaneous,90.0
104,2024-07-02,Expense,Education,Education,48.0
94,2024-07-01,Income,Salary,Monthly Salary,3400.0
92,2024-06-26,Expense,Shopping,Shopping,42.0
88,2024-06-18,Income,Interest,Interest,300.0
84,2024-06-16,Expense,Groceries,Groceries,99.0
93,2024-06-15,Expense,Utilities,Utilities,35.0
86,2024-06-15,Expense,Emergency,Emergency,129.0
82,2024-06-15,Expense,Savings,Savings,120.0
85,2024-06-14,Expense,Utilities,Utilities,99.0
87,2024-06-11,Expense,Shopping,Shopping,35.0
83,2024-06-11,Expense,Miscellaneous,Miscellaneous,75.0
80,2024-06-11,Expense,Fitness,Fitness,90.0
89,2024-06-09,Expense,Education,Education,120.0
81,2024-06-09,Expense,Healthcare,Healthcare,90.0
90,2024-06-07,Expense,Personal Care,Personal Care,150.0
91,2024-06-02,Expense,Education,Education,35.0
79,2024-06-01,Income,Salary,Monthly Salary,3400.0
77,2024-05-28,Expense,Healthcare,Healthcare,250.0
76,2024-05-28,Expense,Internet,Internet,120.0
69,2024-05-27,Expense,Mobile Bill,Mobile Bill,90.0
68,2024-05-24,Income,Gift,Gift,120.0
78,2024-05-22,Income,Gift,Gift,1000.0
75,2024-05-20,Expense,Savings,Savings,58.0
73,2024-05-19,Income,Investment,Investment,120.0
74,2024-05-18,Income,Gift,Gift,650.0
65,2024-05-15,Expense,Loan Payment,Loan Payment,129.0
67,2024-05-13,Expense,Entertainment,Entertainment,450.0
71,2024-05-08,Expense,Fuel,Fuel,220.0
66,2024-05-07,Income,Freelance,Freelance,120.0
72,2024-05-05,Expense,Mobile Bill,Mobile Bill,220.0
70,2024-05-05,Expense,Savings,Savings,48.0
64,2024-05-01,Income,Salary,Monthly Salary,3400.0
61,2024-04-28,Expense,Travel,Travel,35.0
51,2024-04-28,Expense,Utilities,Utilities,180.0
54,2024-04-26,Income,Refund,Refund,850.0
60,2024-04-23,Expense,Internet,Internet,42.0
52,2024-04-20,Expense,Travel,Travel,48.0
58,2024-04-19,Expense,Travel,Travel,129.0
50,2024-04-12,Expense,Clothing,Clothing,250.0
63,2024-04-10,Expense,Healthcare,Healthcare,250.0
56,2024-04-09,Expense,Travel,Travel,25.0
57,2024-04-08,Expense,Gifts & Donations,Gifts & Donations,300.0
53,2024-04-08,Income,Gift,Gift,150.0
62,2024-04-06,Income,Rental Income,Rental Income,300.0
59,2024-04-02,Expense,Gifts & Donations,Gifts & Donations,99.0
55,2024-04-02,Income,Bonus,Bonus,1000.0
49,2024-04-01,Income,Salary,Monthly Salary,3400.0
40,2024-03-28,Income,Freelance,Freelance,650.0
36,2024-03-27,Expense,Fitness,Fitness,90.0
38,2024-03-25,Expense,Emergency,Emergency,35.0
45,2024-03-24,Expense,Fuel,Fuel,99.0
48,2024-03-22,Income,Business Income,Business Income,450.0
47,2024-03-21,Expense,Utilities,Utilities,75.0
44,2024-03-21,Income,Business Income,Business Income,650.0
43,2024-03-21,Expense,Loan Payment,Loan Payment,18.0
35,2024-03-18,Income,Investment,Investment,150.0
37,2024-03-12,Expense,Groceries,Groceries,180.0
41,2024-03-07,Income,Business Income,Business Income,150.0
39,2024-03-05,Income,Other Income,Other Income,150.0
42,2024-03-04,Income,Freelance,Freelance,1000.0
46,2024-03-02,Income,Freelance,Freelance,850.0
34,2024-03-01,Income,Salary,Monthly Salary,3400.0
28,2024-02-28,Income,Business Income,Business Income,450.0
29,2024-02-24,Income,Investment,Investment,120.0
25,2024-02-24,Expense,Clothing,Clothing,58.0
32,2024-02-23,Expense,Utilities,Utilities,35.0
26,2024-02-23,Expense,Shopping,Shopping,129.0
31,2024-02-21,Expense,Fitness,Fitness,220.0
21,2024-02-21,Income,Investment,Investment,150.0
23,2024-02-17,Expense,Emergency,Emergency,48.0
22,2024-02-16,Expense,Utilities,Utilities,150.0
20,2024-02-12,Expense,Savings,Savings,220.0
33,2024-02-11,Expense,Shopping,Shopping,99.0
24,2024-02-10,Expense,Insurance,Insurance,129.0
30,2024-02-08,Expense,Internet,Internet,250.0
27,2024-02-08,Expense,Transportation,Transportation,42.0
19,2024-02-01,Income,Salary,Monthly Salary,3400.0
13,2024-01-26,Expense,Travel,Travel,250.0
6,2024-01-25,Expense,Mobile Bill,Mobile Bill,90.0
11,2024-01-24,Expense,Emergency,Emergency,48.0
7,2024-01-22,Expense,Personal Care,Personal Care,150.0
12,2024-01-19,Income,Gift,Gift,120.0
5,2024-01-17,Income,Interest,Interest,150.0
17,2024-01-15,Income,Bonus,Bonus,850.0
16,2024-01-15,Expense,Savings,Savings,75.0
8,2024-01-15,Expense,Loan Payment,Loan Payment,75.0
15,2024-01-14,Expense,Utilities,Utilities,129.0
9,2024-01-11,Expense,Insurance,Insurance,450.0
18,2024-01-09,Expense,Mobile Bill,Mobile Bill,450.0
14,2024-01-05,Expense,Shopping,Shopping,129.0
10,2024-01-04,Expense,Utilities,Utilities,250.0
4,2024-01-01,Income,Salary,Monthly Salary,3400.0
818,2023-12-21,Income,Rental,Rental Income,817.0
828,2023-12-20,Expense,Shopping,Online Shopping,373.0
827,2023-12-18,Expense,Shopping,Online Shopping,270.0
817,2023-12-17,Income,Investment,Dividend,236.0
826,2023-12-16,Expense,Travel,Weekend Trip,109.0
825,2023-12-14,Expense,Utilities,Electricity Bill,311.0
816,2023-12-13,Income,Bonus,Performance Bonus,500.0
824,2023-12-12,Expense,Education,Books,526.0
823,2023-12-10,Expense,Utilities,Electricity Bill,313.0
815,2023-12-09,Income,Freelance,Website Project,1073.0
822,2023-12-08,Expense,Travel,Weekend Trip,295.0
821,2023-12-06,Expense,Transport,Fuel,516.0
814,2023-12-05,Income,Salary,Monthly Salary,3500.0
820,2023-12-04,Expense,Education,Books,486.0
819,2023-12-02,Expense,Education,Books,466.0
803,2023-11-21,Income,Rental,Rental Income,604.0
813,2023-11-20,Expense,Insurance,Insurance Payment,354.0
812,2023-11-18,Expense,Education,Books,602.0
802,2023-11-17,Income,Investment,Dividend,206.0
811,2023-11-16,Expense,Transport,Fuel,505.0
810,2023-11-14,Expense,Groceries,Supermarket,497.0
801,2023-11-13,Income,Bonus,Performance Bonus,500.0
809,2023-11-12,Expense,Education,Books,285.0
808,2023-11-10,Expense,Travel,Weekend Trip,81.0
800,2023-11-09,Income,Freelance,Website Project,1035.0
807,2023-11-08,Expense,Transport,Fuel,560.0
806,2023-11-06,Expense,Entertainment,Movie,254.0
799,2023-11-05,Income,Salary,Monthly Salary,3700.0
805,2023-11-04,Expense,Food & Dining,Restaurant,139.0
804,2023-11-02,Expense,Utilities,Electricity Bill,181.0
788,2023-10-21,Income,Rental,Rental Income,737.0
798,2023-10-20,Expense,Insurance,Insurance Payment,229.0
797,2023-10-18,Expense,Travel,Weekend Trip,454.0
787,2023-10-17,Income,Investment,Dividend,123.0
796,2023-10-16,Expense,Insurance,Insurance Payment,104.0
795,2023-10-14,Expense,Utilities,Electricity Bill,516.0
786,2023-10-13,Income,Bonus,Performance Bonus,500.0
